subject	dominant_hand	n_sessions	mean_z_left_m1	mean_z_right_m1	responder
sub01	R	2	-0.240563	2.105113	1
sub02	R	2	-2.827651	-3.700169	0
sub03	R	2	0.793107	0.778752	1
sub04	R	2	2.288597	1.148365	1
sub07	R	2	-1.757541	-0.315741	0
sub09	R	2	0.392602	0.874324	1
sub10	L	2	-0.451433	-0.335061	0
sub11	R	2	-0.098284	-0.450743	0
sub12	R	2	-0.079114	0.273231	1
sub13	L	2	0.910601	-2.349557	1
sub14	R	2	0.919340	0.039733	1
sub15	R	2	0.091587	0.897810	1
sub17	R	1	0.735154	-0.239550	1
sub18	R	2	0.830963	1.342757	1
sub20	L	2	-1.699895	-1.048252	0
sub23	R	2	-1.074517	-1.033217	0
sub24	R	2	-0.079217	-0.542090	0
sub28	L	2	0.206618	1.480338	1
